"","AirPtCd","mean_error","TrueValGreater","longitude","latitude","city","AbsError","SquaredErrorAvg","dists","latDists","season","measure"
"16","KBIS",1.82040816326531,TRUE,-100.783,46.8,"Bismarck",1.82040816326531,22.8163265306122,927.383720680298,-0.00832680000000607,"spring","max"
"17","KBJC",-1.89837398373984,FALSE,-105,39.75,"Denver",1.89837398373984,24.9308943089431,1458.28600805381,0.010764199999997,"spring","max"
"18","KBKE",0.426829268292683,TRUE,-117.833,44.7833,"Baker",0.426829268292683,9.63008130081301,942.66482812831,0.0084251999999978,"spring","max"
"19","KBKL",0.495934959349593,TRUE,-81.6167,41.4667,"Cleveland",0.495934959349593,28.1869918699187,7429.27350910697,-0.0326199999999943,"spring","max"
"20","KBNA",1.2520325203252,TRUE,-86.7833,36.1667,"Nashville",1.2520325203252,15.6910569105691,473.218266086402,0.0040362000000016,"spring","max"
"21","KBOI",0.40650406504065,TRUE,-116.217,43.6,"Boise",0.40650406504065,8.59349593495935,2046.98702276433,-0.0150185999999977,"spring","max"
"22","KBOS",0.126016260162602,TRUE,-71.0833,42.35,"Boston",0.126016260162602,19.369918699187,2302.64039268545,-0.0100824999999958,"spring","max"
"23","KBUF",1.9390243902439,TRUE,-78.8333,42.9167,"Buffalo",1.9390243902439,21.5243902439024,4984.35369330153,0.0302531999999971,"spring","max"
"24","KCEF",-0.016260162601626,FALSE,-72.5667,42.1,"Springfield",0.016260162601626,15.739837398374,1918.82539625987,-0.00148310000000151,"spring","max"
"25","KCHS",3.76829268292683,TRUE,-79.9333,32.7833,"Charleston",3.76829268292683,26.2886178861789,785.680512228102,0.00682510000000036,"spring","max"
"26","KCLT",2.09756097560976,TRUE,-80.8333,35.2333,"Charlotte",2.09756097560976,17.780487804878,1129.31623220478,0.00621309999999653,"spring","max"
"27","KCNM",-0.410569105691057,FALSE,-104.25,32.4333,"Carlsbad",0.410569105691057,21.020325203252,2433.55595894299,0.012626400000002,"spring","max"
"28","KCPS",0.51219512195122,TRUE,-90.2,38.5833,"St Louis",0.51219512195122,19.8373983739837,4851.60288326603,-0.043702500000002,"spring","max"
"29","KCQT",1.02845528455285,TRUE,-118.25,34.05,"Los Angeles",1.02845528455285,9.36178861788618,633.5512296199,-0.00223420000000374,"spring","max"
"30","KCRW",1.1844262295082,TRUE,-81.6333,38.35,"Charleston",1.1844262295082,19.5614754098361,62.4455941830239,0.000180499999999029,"spring","max"
"31","KCUB",1.3780487804878,TRUE,-81.0333,34,"Columbia",1.3780487804878,15.1991869918699,160.5717154289,-0.000710400000002664,"spring","max"
"32","KCYS",1.40408163265306,TRUE,-104.867,41.15,"Cheyenne",1.40408163265306,17.069387755102,4079.66056097447,0.0100185999999951,"spring","max"
"33","KDAL",0.195121951219512,TRUE,-96.7667,32.7667,"Dallas",0.195121951219512,16.2439024390244,3045.32997407414,-0.00996419999999887,"spring","max"
"34","KDBQ",-1.0650406504065,FALSE,-90.6667,42.5167,"Dubuque",1.0650406504065,19.3739837398374,1801.58221870476,0.0161416999999986,"spring","max"
"35","KDET",0.731707317073171,TRUE,-83.05,42.3333,"Detroit",0.731707317073171,15.8861788617886,407.137304742402,0.00187300000000334,"spring","max"
"36","KDLH",2.69512195121951,TRUE,-92.0833,46.8167,"Duluth",2.69512195121951,31.5569105691057,3586.65909741129,0.0300280999999956,"spring","max"
"37","KDMH",1.15983606557377,TRUE,-76.6333,39.3,"Baltimore",1.15983606557377,20.7909836065574,2110.92800438856,0.00961519999999894,"spring","max"
"38","KDOV",-0.219512195121951,FALSE,-75.5267,39.1619,"Dover",0.219512195121951,15.5528455284553,460.738822568871,0.0037319999999994,"spring","max"
"39","KDSM",0.845528455284553,TRUE,-93.6167,41.5833,"Des Moines",0.845528455284553,18.4227642276423,2017.23556537982,-0.0172448000000003,"spring","max"
"40","KEED",1.2530612244898,TRUE,-114.6,34.8333,"Needles",1.2530612244898,7.48163265306122,2086.08365091884,-0.014759699999999,"spring","max"
"41","KELP",1.13008130081301,TRUE,-106.483,31.7667,"El Paso",1.13008130081301,8.86178861788618,567.964708034671,0.00482219999999955,"spring","max"
"42","KEUG",0.467479674796748,TRUE,-123.083,44.05,"Eugene",0.467479674796748,10.5243902439024,378.601308770283,-0.00206909999999993,"spring","max"
"43","KEYE",0.626016260162602,TRUE,-86.1667,39.7667,"Indianapolis",0.626016260162602,14.9756097560976,763.400582576301,-0.00170299999999912,"spring","max"
"44","KEYW",0.0772357723577236,TRUE,-81.8,24.55,"Key West",0.0772357723577236,3.26422764227642,2103.57919721721,-0.00505929999999921,"spring","max"
"45","KFAR",1.60816326530612,TRUE,-96.8,46.8667,"Fargo",1.60816326530612,29.534693877551,1401.16185528042,-0.0104862999999966,"spring","max"
"46","KFAT",-0.272357723577236,FALSE,-119.8,36.7333,"Fresno",0.272357723577236,6.58943089430894,1253.6693977173,-0.00449809999999928,"spring","max"
"47","KFLG",0.865853658536585,TRUE,-111.683,35.2167,"Flagstaff",0.865853658536585,6.84146341463415,3536.31790056298,0.0184163999999996,"spring","max"
"48","KFSD",0.532520325203252,TRUE,-96.7333,43.55,"Sioux Falls",0.532520325203252,18.6626016260163,626.1057743288,0.0054040999999998,"spring","max"
"49","KGCK",-0.418032786885246,FALSE,-100.883,37.9667,"Garden City",0.418032786885246,14.0081967213115,1063.93336829822,-0.00498979999999705,"spring","max"
"50","KGEG",-1.53252032520325,FALSE,-117.433,47.6667,"Spokane",1.53252032520325,9.5,1023.79228456751,0.00791979999999626,"spring","max"
"51","KGJT",-0.727642276422764,FALSE,-108.55,39.0833,"Grand Junction",0.727642276422764,11.630081300813,2157.73270809197,0.0194295000000011,"spring","max"
"52","KGRR",1.03658536585366,TRUE,-85.6667,42.9667,"Grand Rapids",1.03658536585366,16.4268292682927,387.91371903789,0.00334010000000262,"spring","max"
"53","KHKS",-0.264227642276423,FALSE,-90.2,32.3333,"Jackson",0.264227642276423,15.5650406504065,4088.87190569354,0.0345427000000029,"spring","max"
"54","KHLN",3.04878048780488,TRUE,-112.033,46.5833,"Helena",3.04878048780488,25.5772357723577,800.73374060081,-0.005845199999996,"spring","max"
"55","KHOT",1.21900826446281,TRUE,-93.05,34.5167,"Hot Springs",1.21900826446281,13.2107438016529,1518.47889364846,0.0129996000000006,"spring","max"
"56","KHQM",-0.548780487804878,FALSE,-123.9,46.9833,"Hoquiam",0.548780487804878,8.06910569105691,853.309367122011,0.00237529999999708,"spring","max"
"57","KHVN",-1.04918032786885,FALSE,-72.9167,41.3167,"New Haven",1.04918032786885,15.0327868852459,1323.88716866813,0.00842600000000004,"spring","max"
"58","KHVR",0.890243902439024,TRUE,-109.717,48.55,"Harve",0.890243902439024,20.4512195121951,2429.79861836985,9.99999997475243e-07,"spring","max"
"59","KIDA",1.71544715447154,TRUE,-112.017,43.5,"Idaho Falls",1.71544715447154,14.5040650406504,2087.46524335901,0.00733929999999816,"spring","max"
"60","KILM",1.2479674796748,TRUE,-77.95,34.2333,"Wilmington",1.2479674796748,13.5162601626016,971.337261675213,0.00757449999999693,"spring","max"
"61","KLBF",0.66260162601626,TRUE,-100.767,41.1333,"North Platte",0.66260162601626,19.2073170731707,965.097085765199,-0.00697590000000048,"spring","max"
"62","KLMT",0.573170731707317,TRUE,-121.733,42.1667,"Klamath Falls",0.573170731707317,9.54065040650407,7609.54332354419,-0.0581670000000045,"spring","max"
"63","KLND",-0.32520325203252,FALSE,-108.667,42.8333,"Lander",0.32520325203252,22.1869918699187,5206.03966996804,0.000286000000002673,"spring","max"
"64","KLNK",0.893877551020408,TRUE,-96.6667,40.8333,"Lincoln",0.893877551020408,20.5918367346939,3734.66705744887,0.019683999999998,"spring","max"
"65","KLUK",0.386178861788618,TRUE,-84.5,39.1333,"Cincinnati",0.386178861788618,15.280487804878,3508.24894508394,0.0301818000000011,"spring","max"
"66","KLWS",-0.650746268656716,FALSE,-117.033,46.4,"Lewiston",0.650746268656716,9.64179104477612,2446.78098712962,-0.000408900000003598,"spring","max"
"67","KMDW",5.17479674796748,TRUE,-87.6167,41.8333,"Chicago",5.17479674796748,58.3536585365854,5094.91498753921,-0.0448135999999977,"spring","max"
"68","KMEM",1.36991869918699,TRUE,-90.05,35.15,"Memphis",1.36991869918699,17.020325203252,106.331049738634,0.000465699999999458,"spring","max"
"69","KMHT",1.83739837398374,TRUE,-71.5,43,"Manchester",1.83739837398374,19.8780487804878,3718.35752814,0.00436030000000187,"spring","max"
"70","KMIA",3.84959349593496,TRUE,-80.2,25.7667,"Miami",3.84959349593496,20.5813008130081,993.779899555213,0.00502020000000059,"spring","max"
"71","KMKC",1.06938775510204,TRUE,-94.5833,39.1,"Kansas City",1.06938775510204,16.4571428571429,410.576024691062,0.000273499999998705,"spring","max"
"72","KMKE",2.15447154471545,TRUE,-87.9167,43.0333,"Milwaukee",2.15447154471545,26.1056910569106,1040.14848769965,-0.00560250000000195,"spring","max"
"73","KMLF",2.98755186721992,TRUE,-112.083,38.7667,"Richfield",2.98755186721992,21.045643153527,647.259049175017,-0.00576730000000225,"spring","max"
"74","KMPV",-0.426829268292683,FALSE,-72.5333,44.25,"Montpelier",0.426829268292683,16.3130081300813,3542.12266104622,-0.0100593000000018,"spring","max"
"75","KMSP",0.422764227642276,TRUE,-93.2333,44.9833,"Minneapolis",0.422764227642276,16.9837398373984,2575.9894720597,0.00554699999999997,"spring","max"
"76","KMXF",-0.723577235772358,FALSE,-86.3,32.35,"Montgomery",0.723577235772358,9.68292682926829,1863.58303500952,-0.0168052000000003,"spring","max"
"77","KNEW",1.20731707317073,TRUE,-90.0667,29.95,"New Orleans",1.20731707317073,11.1178861788618,481.210543212123,-0.00106579999999923,"spring","max"
"78","KNIP",2.34552845528455,TRUE,-81.6667,30.3667,"Jacksonville",2.34552845528455,16.1910569105691,3971.13768996489,0.0345162000000023,"spring","max"
"79","KNYC",1.59426229508197,TRUE,-73.9667,40.7833,"New York",1.59426229508197,17.9303278688525,8505.08799071132,0.0705247,"spring","max"
"80","KOFP",-0.329268292682927,FALSE,-77.4833,37.55,"Richmond",0.329268292682927,16.1422764227642,4300.76701872547,0.00927539999999993,"spring","max"
"81","KOLS",-0.650406504065041,FALSE,-110.933,31.35,"Nogales",0.650406504065041,4.91869918699187,1073.54273830622,0.00962250000000253,"spring","max"
"82","KOSU",-0.0326530612244898,FALSE,-83.0167,40,"Columbus",0.0326530612244898,15.2326530612245,4574.13682601858,0.0388244999999969,"spring","max"
"83","KP68",5.84959349593496,TRUE,-117.067,39.4833,"Austin",5.84959349593496,46.8170731707317,1029.41063264993,-0.00927010000000195,"spring","max"
"84","KPHL",1,TRUE,-75.1667,39.95,"Philadelphia",1,18.5528455284553,313.487670211171,-0.00258389999999764,"spring","max"
"85","KPHX",1.21951219512195,TRUE,-112.067,33.4833,"Phoenix",1.21951219512195,5.13821138211382,3928.24985379999,0.034922899999998,"spring","max"
"86","KPIR",-0.695121951219512,FALSE,-100.35,44.3667,"Pierre",0.695121951219512,22.8414634146341,299.248060483079,-8.76000000005206e-05,"spring","max"
"87","KPVD",1.75609756097561,TRUE,-71.4,41.8333,"Providence",1.75609756097561,16.5365853658537,1485.33776895833,0.00931090000000268,"spring","max"
"88","KPVU",-2.75918367346939,FALSE,-111.6608,40.2444,"Provo",2.75918367346939,20.7755102040816,1187.91108120391,0.0105561999999964,"spring","max"
"89","KPWM",2.8130081300813,TRUE,-70.25,43.6667,"Portland",2.8130081300813,28.6260162601626,1007.79630723222,0.00760069999999757,"spring","max"
"90","KRDU",1.16260162601626,TRUE,-78.65,35.7667,"Raleigh",1.16260162601626,14.9186991869919,1785.47951589642,-0.0128897000000023,"spring","max"
"91","KRNO",1.88617886178862,TRUE,-119.817,39.5,"Reno",1.88617886178862,10.3333333333333,3301.47148929249,-0.0296329000000028,"spring","max"
"92","KROA",1.03252032520325,TRUE,-79.95,37.2833,"Roanoke",1.03252032520325,15.520325203252,1565.43474506134,0.0123295999999939,"spring","max"
"93","KSAC",-0.528455284552846,FALSE,-121.5,38.5833,"Sacramento",0.528455284552846,9.16260162601626,524.33298167312,0.00172810000000112,"spring","max"
"94","KSAF",4.13469387755102,TRUE,-105.95,35.6833,"Santa Fe",4.13469387755102,28.1020408163265,1177.31721917576,-0.00367519999999644,"spring","max"
"95","KSAN",1.04458598726115,TRUE,-117.15,32.72,"San Diego",1.04458598726115,8.45859872611465,1141.54798179202,0.0042619999999971,"spring","max"
"96","KSDF",1.54471544715447,TRUE,-85.7667,38.25,"Louisville",1.54471544715447,16.5934959349593,779.904730399294,-0.00266469999999686,"spring","max"
"97","KSFO",2.80894308943089,TRUE,-122.433,37.7833,"San Francisco",2.80894308943089,21.8821138211382,1515.03038392059,0.00837049999999806,"spring","max"
"98","KSGF",0.955284552845528,TRUE,-93.2833,37.2167,"Springfield",0.955284552845528,14.6788617886179,1173.21920940027,0.0077428000000026,"spring","max"
"99","KSGU",-1.39102564102564,FALSE,-113.5781,37.0953,"St. George",1.39102564102564,9.05769230769231,871.586666669498,-0.00122779999999523,"spring","max"
"100","KSKF",-1.40243902439024,FALSE,-98.55,29.3833,"San Antonio",1.40243902439024,14.4430894308943,7099.94580249087,-0.040821900000001,"spring","max"
"101","KSLC",0.938775510204082,TRUE,-111.9,40.7667,"Salt Lake City",0.938775510204082,12.0816326530612,1001.84611400644,0.00592069999999723,"spring","max"
"102","KSMN",-0.317073170731707,FALSE,-113.9,45.1833,"Salmon",0.317073170731707,17.2439024390244,898.318492974142,0.00754530000000386,"spring","max"
"103","KSPI",1.57317073170732,TRUE,-89.6333,39.8,"Springfield",1.57317073170732,20.4593495934959,2490.26101897557,0.0182786999999962,"spring","max"
"104","KSVN",0.361788617886179,TRUE,-81.0833,32.0833,"Savannah",0.361788617886179,9.67886178861789,792.196843724882,0.00240110000000016,"spring","max"
"105","KSYR",1.71951219512195,TRUE,-76.1333,43.0333,"Syracuse",1.71951219512195,17.6869918699187,2009.01028669697,-0.0148221000000035,"spring","max"
"106","KTAD",1.60569105691057,TRUE,-104.5,37.1667,"Trinidad",1.60569105691057,20.1910569105691,310.399453870146,-0.00276320000000396,"spring","max"
"107","KTIK",-0.589430894308943,FALSE,-97.4667,35.4333,"Oklahoma City",0.589430894308943,15.4837398373984,5901.65411337577,-0.0342601999999985,"spring","max"
"108","KTPA",0.573170731707317,TRUE,-82.45,27.95,"Tampa",0.573170731707317,4.10975609756098,709.194316816021,-0.000575000000001324,"spring","max"
"109","KTYS",0.930894308943089,TRUE,-83.9333,35.95,"Knoxville",0.930894308943089,11.8252032520325,1636.29206327496,-0.0106383999999977,"spring","max"
"110","KVGT",0.495934959349593,TRUE,-115.2,36.1667,"Las Vegas",0.495934959349593,5.3739837398374,5425.5663552171,-0.00324119999999795,"spring","max"
"111","KVUO",-0.158536585365854,FALSE,-122.683,45.5167,"Portland",0.158536585365854,9.50813008130081,1961.2514565623,0.00446920000000262,"spring","max"
"112","PAMR",1.559670781893,TRUE,-149.9,61.2167,"Anchorage",1.559670781893,14.119341563786,151.794039872972,-0.00135559999999657,"spring","max"
"113","PHNL",0.93469387755102,TRUE,-157.8167,21.3,"Honolulu",0.93469387755102,6.95918367346939,4387.7153853052,-0.0069443999999983,"spring","max"
"114","KAAO",-2.26639344262295,FALSE,-97.2833,37.7167,"Wichita",2.26639344262295,38.8401639344262,5266.59775470213,0.0295239000000009,"spring","min"
"115","KACY",-2.46341463414634,FALSE,-74.4167,39.3667,"Atlantic City",2.46341463414634,52.609756097561,599.93741711374,0.00241660000000365,"spring","min"
"116","KAGC",-1.06910569105691,FALSE,-79.95,40.45,"Pittsburgh",1.06910569105691,47.4837398373984,4029.64340864347,0.00937520000000092,"spring","min"
"117","KALB",-1.21632653061224,FALSE,-73.75,42.6667,"Albany",1.21632653061224,53.665306122449,1649.72808632176,0.0141206999999994,"spring","min"
"118","KAMA",-2.08536585365854,FALSE,-101.833,35.1833,"Amarillo",2.08536585365854,26.9471544715447,4296.02258861715,-0.0386971000000003,"spring","min"
"119","KANJ",-0.760162601626016,FALSE,-84.35,46.5,"Sault Ste Marie",0.760162601626016,37.5975609756098,314.657236354513,0.00228849999999881,"spring","min"
"120","KART",-3.91056910569106,FALSE,-75.9167,43.9667,"Watertown",3.91056910569106,103.821138211382,1016.97731047178,-0.00808379999999431,"spring","min"
"121","KATL",0.422764227642276,TRUE,-84.3833,33.75,"Atlanta",0.422764227642276,27.130081300813,447.929088641602,0.00100460000000169,"spring","min"
"122","KAVP",-1.01219512195122,FALSE,-75.65,41.4,"Scranton",1.01219512195122,50.8089430894309,1438.56222593147,-0.00896900000000045,"spring","min"
"123","KBAD",-2.70901639344262,FALSE,-93.7,32.4667,"Shreveport",2.70901639344262,35.2336065573771,8015.98116626834,-0.0584515999999979,"spring","min"
"124","KBFI",0.634146341463415,TRUE,-122.333,47.6167,"Seattle",0.634146341463415,8.73170731707317,1168.45307858863,0.0104905000000031,"spring","min"
"125","KBFM",0.33469387755102,TRUE,-88.05,30.7,"Mobile",0.33469387755102,20.9551020408163,1096.30931383149,0.00463429999999931,"spring","min"
"126","KBGR",-2.71951219512195,FALSE,-68.7833,44.8,"Bangor",2.71951219512195,56.4512195121951,971.980275400585,-0.00161280000000374,"spring","min"
"127","KBHB",-2.27642276422764,FALSE,-66.99,44.91,"Eastport",2.27642276422764,42.5853658536585,423.341956190268,0.00380939999999441,"spring","min"
"128","KBHM",-1.58943089430894,FALSE,-86.8333,33.5,"Birmingham",1.58943089430894,27.5569105691057,3666.84605322906,-0.0206608000000017,"spring","min"
"129","KBIS",-3.18367346938776,FALSE,-100.783,46.8,"Bismarck",3.18367346938776,45.5265306122449,927.383720680298,-0.00832680000000607,"spring","min"
"130","KBJC",-0.345528455284553,FALSE,-105,39.75,"Denver",0.345528455284553,22.5325203252033,1458.28600805381,0.010764199999997,"spring","min"
"131","KBKE",-4.44715447154472,FALSE,-117.833,44.7833,"Baker",4.44715447154472,51.6666666666667,942.66482812831,0.0084251999999978,"spring","min"
"132","KBKL",-0.024390243902439,FALSE,-81.6167,41.4667,"Cleveland",0.024390243902439,39.3414634146341,7429.27350910697,-0.0326199999999943,"spring","min"
"133","KBNA",-1.32926829268293,FALSE,-86.7833,36.1667,"Nashville",1.32926829268293,33.9959349593496,473.218266086402,0.0040362000000016,"spring","min"
"134","KBOI",0.361788617886179,TRUE,-116.217,43.6,"Boise",0.361788617886179,18.0609756097561,2046.98702276433,-0.0150185999999977,"spring","min"
"135","KBOS",-1.1869918699187,FALSE,-71.0833,42.35,"Boston",1.1869918699187,32.8455284552846,2302.64039268545,-0.0100824999999958,"spring","min"
"136","KBUF",-1.49593495934959,FALSE,-78.8333,42.9167,"Buffalo",1.49593495934959,46.5772357723577,4984.35369330153,0.0302531999999971,"spring","min"
"137","KCEF",-3.24390243902439,FALSE,-72.5667,42.1,"Springfield",3.24390243902439,74.2113821138211,1918.82539625987,-0.00148310000000151,"spring","min"
"138","KCHS",-2.94715447154472,FALSE,-79.9333,32.7833,"Charleston",2.94715447154472,40.1585365853659,785.680512228102,0.00682510000000036,"spring","min"
"139","KCLT",-2.27235772357724,FALSE,-80.8333,35.2333,"Charlotte",2.27235772357724,46.6219512195122,1129.31623220478,0.00621309999999653,"spring","min"
"140","KCNM",-1.63414634146341,FALSE,-104.25,32.4333,"Carlsbad",1.63414634146341,34.5691056910569,2433.55595894299,0.012626400000002,"spring","min"
"141","KCPS",-1.26422764227642,FALSE,-90.2,38.5833,"St Louis",1.26422764227642,36.9634146341463,4851.60288326603,-0.043702500000002,"spring","min"
"142","KCQT",0.126016260162602,TRUE,-118.25,34.05,"Los Angeles",0.126016260162602,5.61382113821138,633.5512296199,-0.00223420000000374,"spring","min"
"143","KCRW",-1.89344262295082,FALSE,-81.6333,38.35,"Charleston",1.89344262295082,57.1147540983607,62.4455941830239,0.000180499999999029,"spring","min"
"144","KCUB",-0.040650406504065,FALSE,-81.0333,34,"Columbia",0.040650406504065,35.1138211382114,160.5717154289,-0.000710400000002664,"spring","min"
"145","KCYS",-0.41869918699187,FALSE,-104.867,41.15,"Cheyenne",0.41869918699187,20.8739837398374,4079.66056097447,0.0100185999999951,"spring","min"
"146","KDAL",-0.308943089430894,FALSE,-96.7667,32.7667,"Dallas",0.308943089430894,23.3658536585366,3045.32997407414,-0.00996419999999887,"spring","min"
"147","KDBQ",-2.58943089430894,FALSE,-90.6667,42.5167,"Dubuque",2.58943089430894,37.0040650406504,1801.58221870476,0.0161416999999986,"spring","min"
"148","KDET",-1.39024390243902,FALSE,-83.05,42.3333,"Detroit",1.39024390243902,39.9593495934959,407.137304742402,0.00187300000000334,"spring","min"
"149","KDLH",-2.18292682926829,FALSE,-92.0833,46.8167,"Duluth",2.18292682926829,35.9552845528455,3586.65909741129,0.0300280999999956,"spring","min"
"150","KDMH",0.382113821138211,TRUE,-76.6333,39.3,"Baltimore",0.382113821138211,46.7235772357724,2110.92800438856,0.00961519999999894,"spring","min"
"151","KDOV",-1.08130081300813,FALSE,-75.5267,39.1619,"Dover",1.08130081300813,44.1219512195122,460.738822568871,0.0037319999999994,"spring","min"
"152","KDSM",-0.760162601626016,FALSE,-93.6167,41.5833,"Des Moines",0.760162601626016,31.1016260162602,2017.23556537982,-0.0172448000000003,"spring","min"
"153","KEED",3.11428571428571,TRUE,-114.6,34.8333,"Needles",3.11428571428571,32.2571428571429,2086.08365091884,-0.014759699999999,"spring","min"
"154","KELP",-1.84146341463415,FALSE,-106.483,31.7667,"El Paso",1.84146341463415,28.4918699186992,567.964708034671,0.00482219999999955,"spring","min"
"155","KEUG",-0.963414634146341,FALSE,-123.083,44.05,"Eugene",0.963414634146341,22.4918699186992,378.601308770283,-0.00206909999999993,"spring","min"
"156","KEYE",-1.60569105691057,FALSE,-86.1667,39.7667,"Indianapolis",1.60569105691057,45.4512195121951,763.400582576301,-0.00170299999999912,"spring","min"
"157","KEYW",-0.532520325203252,FALSE,-81.8,24.55,"Key West",0.532520325203252,5.89024390243902,2103.57919721721,-0.00505929999999921,"spring","min"
"158","KFAR",-2.6,FALSE,-96.8,46.8667,"Fargo",2.6,44.265306122449,1401.16185528042,-0.0104862999999966,"spring","min"
"159","KFAT",0.199186991869919,TRUE,-119.8,36.7333,"Fresno",0.199186991869919,7.67073170731707,1253.6693977173,-0.00449809999999928,"spring","min"
"160","KFLG",-1.84959349593496,FALSE,-111.683,35.2167,"Flagstaff",1.84959349593496,25.630081300813,3536.31790056298,0.0184163999999996,"spring","min"
"161","KFSD",-2.90650406504065,FALSE,-96.7333,43.55,"Sioux Falls",2.90650406504065,47.1829268292683,626.1057743288,0.0054040999999998,"spring","min"
"162","KGCK",-3.0327868852459,FALSE,-100.883,37.9667,"Garden City",3.0327868852459,39.7131147540984,1063.93336829822,-0.00498979999999705,"spring","min"
"163","KGEG",0.0121951219512195,TRUE,-117.433,47.6667,"Spokane",0.0121951219512195,14.6951219512195,1023.79228456751,0.00791979999999626,"spring","min"
"164","KGJT",-2.0650406504065,FALSE,-108.55,39.0833,"Grand Junction",2.0650406504065,25.1138211382114,2157.73270809197,0.0194295000000011,"spring","min"
"165","KGRR",-1.99186991869919,FALSE,-85.6667,42.9667,"Grand Rapids",1.99186991869919,48.0731707317073,387.91371903789,0.00334010000000262,"spring","min"
"166","KHKS",-0.878048780487805,FALSE,-90.2,32.3333,"Jackson",0.878048780487805,22.9430894308943,4088.87190569354,0.0345427000000029,"spring","min"
"167","KHLN",-0.715447154471545,FALSE,-112.033,46.5833,"Helena",0.715447154471545,25.0569105691057,800.73374060081,-0.005845199999996,"spring","min"
"168","KHOT",-1.20661157024793,FALSE,-93.05,34.5167,"Hot Springs",1.20661157024793,35.4876033057851,1518.47889364846,0.0129996000000006,"spring","min"
"169","KHQM",-0.308943089430894,FALSE,-123.9,46.9833,"Hoquiam",0.308943089430894,11.5284552845528,853.309367122011,0.00237529999999708,"spring","min"
"170","KHVN",-1.09426229508197,FALSE,-72.9167,41.3167,"New Haven",1.09426229508197,47.7827868852459,1323.88716866813,0.00842600000000004,"spring","min"
"171","KHVR",-2.61382113821138,FALSE,-109.717,48.55,"Harve",2.61382113821138,38.6138211382114,2429.79861836985,9.99999997475243e-07,"spring","min"
"172","KIDA",-2.75609756097561,FALSE,-112.017,43.5,"Idaho Falls",2.75609756097561,31.6666666666667,2087.46524335901,0.00733929999999816,"spring","min"
"173","KILM",-2.07723577235772,FALSE,-77.95,34.2333,"Wilmington",2.07723577235772,46.3536585365854,971.337261675213,0.00757449999999693,"spring","min"
"174","KLBF",-3.60162601626016,FALSE,-100.767,41.1333,"North Platte",3.60162601626016,46.8861788617886,965.097085765199,-0.00697590000000048,"spring","min"
"175","KLMT",-2.19918699186992,FALSE,-121.733,42.1667,"Klamath Falls",2.19918699186992,28.6056910569106,7609.54332354419,-0.0581670000000045,"spring","min"
"176","KLND",-0.939024390243902,FALSE,-108.667,42.8333,"Lander",0.939024390243902,19.5406504065041,5206.03966996804,0.000286000000002673,"spring","min"
"177","KLNK",-2.91020408163265,FALSE,-96.6667,40.8333,"Lincoln",2.91020408163265,46.0612244897959,3734.66705744887,0.019683999999998,"spring","min"
"178","KLUK",-2.8739837398374,FALSE,-84.5,39.1333,"Cincinnati",2.8739837398374,67.4430894308943,3508.24894508394,0.0301818000000011,"spring","min"
